test_batch,output,strategy,learned_kernel
174,T,same_both,"2.26**2 * RBF(length_scale=[0.446, 2.51, 14, 6.18, 20, 8.03]) + WhiteKernel(noise_level=5.92e-06)"
204,Cb,unrestricted,"1.37**2 * RBF(length_scale=[0.444, 2.93, 20, 6.97, 20, 7.9]) + WhiteKernel(noise_level=5.95e-07)"
204,T,unrestricted,"2.41**2 * RBF(length_scale=[0.381, 4.13, 20, 8.83, 20, 11.2]) + WhiteKernel(noise_level=3.5e-06)"
204,Cb,same_delta_frac_A,"1.37**2 * RBF(length_scale=[0.444, 2.93, 20, 6.97, 20, 7.9]) + WhiteKernel(noise_level=5.95e-07)"
204,T,same_delta_frac_A,"2.41**2 * RBF(length_scale=[0.381, 4.13, 20, 8.83, 20, 11.2]) + WhiteKernel(noise_level=3.5e-06)"
204,Cb,same_delta_Tc,"1.37**2 * RBF(length_scale=[0.444, 2.93, 20, 6.97, 20, 7.9]) + WhiteKernel(noise_level=5.95e-07)"
204,T,same_delta_Tc,"2.41**2 * RBF(length_scale=[0.381, 4.13, 20, 8.83, 20, 11.2]) + WhiteKernel(noise_level=3.5e-06)"
204,Cb,same_both,"1.37**2 * RBF(length_scale=[0.444, 2.93, 20, 6.97, 20, 7.9]) + WhiteKernel(noise_level=5.95e-07)"
204,T,same_both,"2.41**2 * RBF(length_scale=[0.381, 4.13, 20, 8.83, 20, 11.2]) + WhiteKernel(noise_level=3.5e-06)"
207,Cb,unrestricted,"2.58**2 * RBF(length_scale=[1.28, 3.47, 20, 13.5, 20, 10.9]) + WhiteKernel(noise_level=2.04e-05)"
207,T,unrestricted,"2.64**2 * RBF(length_scale=[0.464, 5.31, 17.9, 10.1, 20, 20]) + WhiteKernel(noise_level=1e-08)"
207,Cb,same_delta_frac_A,"2.58**2 * RBF(length_scale=[1.28, 3.47, 20, 13.5, 20, 10.9]) + WhiteKernel(noise_level=2.04e-05)"
207,T,same_delta_frac_A,"2.64**2 * RBF(length_scale=[0.464, 5.31, 17.9, 10.1, 20, 20]) + WhiteKernel(noise_level=1e-08)"
207,Cb,same_delta_Tc,"2.27**2 * RBF(length_scale=[1.35, 2.07, 20, 9.45, 20, 8.81]) + WhiteKernel(noise_level=1.82e-05)"
207,T,same_delta_Tc,"2.15**2 * RBF(length_scale=[0.455, 2.71, 16, 9.94, 20, 20]) + WhiteKernel(noise_level=1.46e-08)"
207,Cb,same_both,"2.4**2 * RBF(length_scale=[1.35, 2.21, 20, 10.2, 20, 9.31]) + WhiteKernel(noise_level=1.85e-05)"
207,T,same_both,"2.18**2 * RBF(length_scale=[0.467, 3.2, 18.4, 7.91, 20, 20]) + WhiteKernel(noise_level=1.16e-08)"
229,Cb,unrestricted,"1.98**2 * RBF(length_scale=[1.31, 1.92, 20, 3.59, 20, 8.56]) + WhiteKernel(noise_level=2.21e-05)"
229,T,unrestricted,"3.05**2 * RBF(length_scale=[0.557, 2.52, 18.2, 6.39, 20, 20]) + WhiteKernel(noise_level=1.67e-05)"
229,Cb,same_delta_frac_A,"2.62**2 * RBF(length_scale=[1.35, 1.94, 20, 7.15, 20, 9.72]) + WhiteKernel(noise_level=2.67e-05)"
